NFL '26 Survey — By Country (Col M),,,,,,,,,,,,,
Breakdown: Tidy Country,,,,,,,,,,,,,
Question,Response,Total N,Global Average %,Australia %,Brazil %,DACH %,France %,Italy %,Japan %,Mexico %,RoW %,Spain %,United Kingdom %
,Poor,2572,14.10%,10.00%,10.90%,18.50%,13.10%,13.40%,15.70%,12.30%,10.90%,12.50%,15.50%
,Very Poor,3805,20.90%,16.90%,14.50%,29.90%,30.40%,18.30%,10.90%,23.90%,13.70%,20.70%,23.50%
,Base (answered),18243,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
At what point did you sign-up to NFL Game Pass?,Ahead of the Super Bowl (February),1836,10.20%,3.80%,5.30%,4.90%,5.40%,7.30%,28.60%,12.90%,11.80%,9.60%,2.20%
,Around the start of the season (September-October),2250,12.50%,11.20%,26.80%,14.50%,9.50%,7.60%,7.40%,14.40%,11.30%,19.70%,9.30%
,Later in the season (November-December),2312,12.80%,7.10%,15.40%,12.80%,16.60%,22.50%,9.10%,16.70%,10.60%,16.70%,9.40%
,Not sure,394,2.20%,1.10%,3.00%,1.60%,1.60%,0.70%,4.70%,1.70%,2.90%,1.50%,1.20%
,Prior to the season starting (Before September),10210,56.70%,75.70%,46.30%,63.50%,60.20%,48.30%,35.80%,49.30%,58.20%,45.40%,76.70%
,Throughout the Playoff period (January),1019,5.70%,1.00%,3.20%,2.70%,6.70%,13.70%,14.30%,5.00%,5.10%,7.00%,1.20%
,Base (answered),18021,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
What prevented you from signing up to NFL Game Pass sooner? - Selected Choice,I couldn't afford it,1952,37.90%,39.30%,62.70%,53.00%,18.80%,26.60%,53.00%,16.00%,31.30%,35.40%,44.10%
,I didn’t know about NFL Game Pass,599,11.60%,9.50%,10.80%,8.20%,8.50%,6.10%,15.40%,13.30%,14.60%,9.20%,5.20%
,I needed more time to research or compare options,100,1.90%,1.20%,0.00%,1.80%,2.80%,1.60%,1.50%,2.90%,2.20%,1.80%,1.30%
